building_id,mean_electricity,building_age,sqft,primaryspaceusage
Bear_assembly_Angel,494.33639636993416,92.0,238065.0,Entertainment/public assembly
Bear_assembly_Beatrice,42.9620556983719,67.0,30160.0,Entertainment/public assembly
Bear_assembly_Danial,160.6557286124559,9.0,82670.0,Entertainment/public assembly
Bear_assembly_Diana,0.8568836038748526,30.0,1305.0,Entertainment/public assembly
Bear_assembly_Genia,261.0890542326063,102.0,261091.0,Entertainment/public assembly
Bear_assembly_Harry,17.703158165587258,93.0,59326.0,Entertainment/public assembly
Bear_assembly_Jose,257.14087280205655,59.0,36180.0,Entertainment/public assembly
Bear_assembly_Roxy,15.917531180779374,122.0,11910.0,Entertainment/public assembly
Bear_assembly_Ruby,69.33275551873858,98.0,124197.0,Entertainment/public assembly
Bear_education_Alfredo,0.18113274442538593,116.0,6564.0,Education
Bear_education_Alvaro,419.54197717521885,31.0,109588.0,Education
Bear_education_Arnold,0.5394493803343855,68.0,2010.0,Education
Bear_education_Augusta,115.38137163538568,66.0,150887.0,Education
Bear_education_Austin,21.116638423307624,114.0,21866.0,Education
Bear_education_Babara,372.5105477604197,61.0,94175.0,Education
Bear_education_Benita,521.5384076317172,118.0,141461.0,Education
Bear_education_Bob,128.5693519724091,73.0,305268.0,Education
Bear_education_Bonita,0.18761717235809877,96.0,4189.0,Education
Bear_education_Bulah,1333.2683391647147,14.0,220703.0,Education
Bear_education_Carlo,4.44261751417139,51.0,14150.0,Education
Bear_education_Chad,999.7315317426793,95.0,420885.0,Education
Bear_education_Chana,21.382126261068265,67.0,40706.0,Education
Bear_education_Chun,100.81531511647873,84.0,46204.0,Education
Bear_education_Clint,56.756331331085335,66.0,41297.0,Education
Bear_education_Curtis,68.91401561229748,108.0,44182.0,Education
Bear_education_Danna,102.98130734279688,65.0,104016.0,Education
Bear_education_Darrell,39.2829802132026,120.0,56343.0,Education
Bear_education_Deborah,1.493340586419753,105.0,8516.0,Education
Bear_education_Deena,8.67914907183688,102.0,18474.0,Education
Bear_education_Derek,184.34697664091559,77.0,68146.0,Education
Bear_education_Destiny,125.37888005010961,47.0,55516.0,Education
Bear_education_Elise,145.29194889978336,61.0,222434.0,Education
Bear_education_Fannie,431.63125021622255,29.0,116121.0,Education
Bear_education_Gavin,89.9654304739634,108.0,77055.0,Education
Bear_education_Herb,12.93098178026624,111.0,23815.0,Education
Bear_education_Herman,0.2846548986003999,115.0,4000.0,Education
Bear_education_Holly,1.2480076551446484,115.0,7781.0,Education
